created,text,retweetCount
2017-07-06 11:23:05,"RT @chiefsanjay: Modi's note ban can't kill corruption, it could damage Indian economy: Paul Krugman https://t.co/7MyrCtJDAm",2
2017-07-06 11:22:57,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/qvuebu8oUb",51
2017-07-06 11:22:47,"RT @Priyanka_NSUI: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/opvtvuGGvy",1
2017-07-06 11:22:29,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 11:22:25,"RT @RenukaJain6: Demonetisation impact not as bad as some of us thought: Paul Krugman, Nobel Laureate. Finally he admits mistake  https://t…",92
2017-07-06 11:20:59,RT @kapsology: .@narendramodi trying to bring India out of self-made disaster ~ Demonetisation https://t.co/VRo8x9fNVi,81
2017-07-06 11:19:23,"RT @giniromet: Demonetisation impact not as bad as some of us thought: Paul Krugman, Nobel Laureate. Finally he admits mistake. 
Waiting fo…",61
2017-07-06 11:18:34,"@htTweets @suchetanaray Super Going @htTweets and @suchetanaray; 
Moved from #DeMonetisation Spot Reports to #GST
T… https://t.co/xzXsMvmv5L",0
2017-07-06 11:17:43,"RT @chiefsanjay: Modi's note ban can't kill corruption, it could damage Indian economy: Paul Krugman https://t.co/7MyrCtJDAm",2
2017-07-06 11:17:34,"RT @OfficeOfRG: Unlike demonetisation, GST is a reform that @INCIndia has championed &amp; backed from the beginning",1516
2017-07-06 11:16:41,"RT @rishibagree: Every Congress spokie quoted Paul Krugman who went horribly wrong during demonetisation, 

Now they have to lick back thei…",349
2017-07-06 11:16:38,"Modi's note ban can't kill corruption, it could damage Indian economy: Paul Krugman https://t.co/7MyrCtJDAm",2
2017-07-06 11:16:35,@Begum_Faizabadi I believe that demonetisation was a great initiative and will do a lot of good to the economy desp… https://t.co/XajWztmK2J,0
2017-07-06 11:16:20,"RT @giniromet: Demonetisation impact not as bad as some of us thought: Paul Krugman, Nobel Laureate. Finally he admits mistake. 
Waiting fo…",61
2017-07-06 11:16:00,RT @kapsology: .@narendramodi trying to bring India out of self-made disaster ~ Demonetisation https://t.co/VRo8x9fNVi,81
2017-07-06 11:15:16,RT @RomeshNadir: Huge discomfort surfacing vividly for @_sabanaqvi unable to swallow &amp; digest d response of d Traders to #Demonetisation &amp;…,64
2017-07-06 11:14:43,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/qvuebu8oUb",51
2017-07-06 11:14:34,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/rvOO0IMmIV",7
2017-07-06 11:14:19,‘6% GDP is disappointing’: Noted economist Paul Krugman blames demonetisation and RBI policies https://t.co/EGrDKIFxGY,0
2017-07-06 11:14:12,"Modi's note ban can't kill corruption, it could damage Indian economy significantly: Paul Krugman https://t.co/NGHDHEIQs8 via @economictimes",0
2017-07-06 11:14:11,"RT @SurajMNHegde: #DeMonetisation is a monumental blunder

Tilldate no exact amount of #BlackMoney recovered

SC new Order

Who will decide…",38
2017-07-06 11:13:25,"RT @rishibagree: Every Congress spokie quoted Paul Krugman who went horribly wrong during demonetisation, 

Now they have to lick back thei…",349
2017-07-06 11:12:35,"Post #demonetisation ,India managed to contain cash crunch&amp;moves to #LessCashEconomy ,raising growth&amp;transparency.
https://t.co/qQjz6e0xWB",0
2017-07-06 11:12:27,Letting banned notes be deposited will defeat demonetisation goal: Govt may tell SC https://t.co/kttS3vTQZq,0
2017-07-06 11:10:22,RT @kapsology: .@narendramodi trying to bring India out of self-made disaster ~ Demonetisation https://t.co/VRo8x9fNVi,81
2017-07-06 11:09:27,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 11:08:57,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/qvuebu8oUb",51
2017-07-06 11:08:57,RT @naveenbebra: Need one more Demonetisation https://t.co/d4hTZiDNta,7
2017-07-06 11:08:21,"RT @KapilSibalteam: Demonetisation has failed on each front which Modi referred in his famous address to the nation on 8th Nov,2016.
@Kapil…",2
2017-07-06 11:07:43,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/vK1CMnBOC7",40
2017-07-06 11:07:40,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/f4GamFETvv",25
2017-07-06 11:07:28,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/rvOO0IMmIV",7
2017-07-06 11:06:58,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 11:06:47,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 11:06:45,RT @sunandavashisht: Paul Krugman: Demonetisation impact not as bad as some of us thought. He traveled to India to call it a disaster  http…,33
2017-07-06 11:06:04,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/qvuebu8oUb",51
2017-07-06 11:06:02,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/rvOO0IMmIV",7
2017-07-06 11:05:34,RT @asaravanan21: Who is this guy? Blabbering what qualifications? Our FM aka DM is way better than a Nobel Prize. #demonetization    https…,2
2017-07-06 11:05:20,"RT @rishibagree: Every Congress spokie quoted Paul Krugman who went horribly wrong during demonetisation, 

Now they have to lick back thei…",349
2017-07-06 11:04:58,"#TellYourStoryIn5Words

Demonetisation was a Stupid Idea. 

@INCIndia @OfficeOfRG @BJP4India",0
2017-07-06 11:04:49,"RT @Wisey_woman: @IndiaToday That's a lie. This is what he actually said: 
https://t.co/T4UCGGmNa8",1
2017-07-06 11:04:36,RT @htTweets: With GST the Modi regime is once again repeating the follies of  demonetisation #HTOpinion @mohanguruswamy https://t.co/cWzMJ…,4
2017-07-06 11:04:17,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/AiE1YW5vAe",55
2017-07-06 11:04:10,RT @htTweets: With GST the Modi regime is once again repeating the follies of  demonetisation #HTOpinion @mohanguruswamy https://t.co/cWzMJ…,4
2017-07-06 11:04:03,"RT @rishibagree: Every Congress spokie quoted Paul Krugman who went horribly wrong during demonetisation, 

Now they have to lick back thei…",349
